Designator,Mid X,Mid Y,Rotation,Layer
B1,150.0,-100.0,0.0,bottom
BT1,150.0,-100.0,0.0,top
C1,179.0,-81.55,90.0,top
C2,181.4,-111.6,0.0,top
C4,181.4,-109.4,0.0,top
C5,166.0,-86.0,270.0,top
C6,149.5,-84.1,90.0,top
C7,151.95,-84.1,90.0,top
FID1,119.925,-113.7,0.0,top
IC1,173.5,-85.0,180.0,top
IC2,177.2,-110.5,180.0,top
J1,150.0,-131.0,0.0,top
J2,144.0,-73.0,270.0,top
J3,167.0,-115.0,90.0,top
J4,128.55,-115.0,90.0,top
J5,135.3,-86.7,0.0,top
J6,136.0,-77.7,0.0,top
L1,177.5,-89.5,180.0,top
LED1,139.0,-131.0,0.0,top
R10,160.0,-80.0,90.0,top
R11,126.0,-81.9125,90.0,top
R12,154.225,-76.025,180.0,top
R13,143.5,-90.0,180.0,top
R2,157.5,-125.0,270.0,top
R3,178.95,-85.85,180.0,top
R4,161.0,-125.0,270.0,top
R5,176.755,-113.7125,0.0,top
R6,172.35,-110.05,0.0,top
R7,168.55,-84.125,270.0,top
R8,169.5,-81.0,180.0,top
R9,162.5,-80.0,270.0,top
S1,128.75,-77.0,0.0,top
SW1,150.5,-73.5,90.0,top
U1,183.0,-87.0,270.0,top
U2,144.0,-81.5,90.0,top
